,,,,,,20TH,50TH,80TH
PLAYER,POS,TEAM,OPP,SALARY,OWN%,FLOOR,MIDDLE,CEILING
Alvin Kamara,RB,NO,DET,"$8,000",28.82%,13.02,28.86,45.23
Lamar Jackson,QB,BAL,WAS,"$8,100",8.59%,12.89,26.55,42.39
Josh Allen,QB,BUF,LV,"$7,300",9.24%,12.6,25.3,39.8
Dak Prescott,QB,DAL,CLE,"$7,200",12.23%,15.07,25.88,38.85
Ezekiel Elliott,RB,DAL,CLE,"$7,800",25.18%,8.16,22.03,36.96
Davante Adams,WR,GB,ATL,"$7,900",%,11.01,23.18,36.83
Russell Wilson,QB,SEA,MIA,"$7,800",11.42%,14.12,24.29,36.3
Dalvin Cook,RB,MIN,HOU,"$7,600",11.15%,7.74,21.18,36.16
Kyler Murray,QB,ARI,CAR,"$7,000",10.01%,12.14,23.53,36.14
Deshaun Watson,QB,HOU,MIN,"$6,600",11.80%,12.39,23.25,35.7
Aaron Jones,RB,GB,ATL,"$7,500",%,6.21,19.63,34.3
DeAndre Hopkins,WR,ARI,CAR,"$8,500",6.64%,10.16,21.17,33.8
Josh Jacobs,RB,LV,BUF,"$6,800",7.23%,7.16,20.21,33.76
Joe Burrow,QB,CIN,JAX,"$6,300",3.71%,12.02,22.13,33.48
Jared Goff,QB,LA,NYG,"$6,700",8.15%,12.34,21.38,33.02
Aaron Rodgers,QB,GB,ATL,"$7,100",%,12.85,22.22,32.63
Tyler Lockett,WR,SEA,MIA,"$7,000",14.32%,9.05,20.21,31.96
Mike Davis,RB,CAR,ARI,"$5,700",21.54%,6.45,18.04,31.48
Miles Sanders,RB,PHI,SF,"$6,700",%,7.45,18.43,30.94
Ryan Fitzpatrick,QB,MIA,SEA,"$5,400",9.20%,10.42,19.71,30.89
Calvin Ridley,WR,ATL,GB,"$7,500",%,8.75,19.35,30.77
Matt Ryan,QB,ATL,GB,"$6,000",%,12.57,20.65,30.74
Austin Ekeler,RB,LAC,TB,"$7,100",4.35%,6.87,16.81,30
Jonathan Taylor,RB,IND,CHI,"$6,600",4.67%,5.48,16.76,29.42
Matthew Stafford,QB,DET,NO,"$5,900",3.68%,11.28,19.32,29.37
Melvin Gordon,RB,DEN,NYJ,"$6,900",%,5.39,16.48,29.25
Amari Cooper,WR,DAL,CLE,"$6,700",15.09%,8.49,18,28.93
Darrell Henderson,RB,LA,NYG,"$5,800",11.37%,4.58,15.97,28.86
Gardner Minshew,QB,JAX,CIN,"$5,900",0.78%,9.98,18.88,28.85
Joe Mixon,RB,CIN,JAX,"$5,800",8.08%,5.12,15.76,28.74
Daniel Jones,QB,NYG,LA,"$5,100",0.50%,8.54,17.23,28.72
Teddy Bridgewater,QB,CAR,ARI,"$5,600",1%,10.44,18.67,28.71
James Robinson,RB,JAX,CIN,"$6,500",7.54%,5.04,15.72,28.59
Tom Brady,QB,TB,LAC,"$6,100",1.20%,10.89,18.21,28.58
Kirk Cousins,QB,MIN,HOU,"$5,600",1.02%,10.69,18.78,28.51
D.K. Metcalf,WR,SEA,MIA,"$6,800",15.09%,6.95,16.81,28.45
Kenyan Drake,RB,ARI,CAR,"$6,000",13.46%,4.97,15.78,28.45
