"Defense","QB DvP","RB DvP","WR DvP","TE DvP"
"ARI","5.3%","-0.4%","-0.5%","3.2%"
"ATL","10.4%","-1.3%","-0.5%","6.6%"
"BAL","-1.2%","-1.8%","-0.7%","-1.4%"
"BUF","2.1%","-0.6%","-0.8%","1.5%"
"CAR","-5.5%","5.6%","-2.1%","-2.1%"
"CHI","-8.1%","-2.0%","-3.0%","0.6%"
"CIN","-0.9%","-1.5%","1.5%","-0.9%"
"CLE","2.4%","-0.4%","2.5%","2.2%"
"DAL","3.4%","-2.6%","1.0%","4.0%"
"DEN","4.6%","-5.0%","0.7%","2.7%"
"DET","-0.3%","3.1%","0.7%","-1.5%"
"GB","-2.0%","5.8%","-0.1%","-3.3%"
"HOU","-0.6%","4.8%","0.3%","0.1%"
"IND","-7.3%","-3.3%","-1.3%","-2.4%"
"JAX","1.2%","3.2%","-0.4%","0.8%"
"KC","-3.8%","-1.1%","-0.6%","-0.9%"
"LAC","3.5%","-2.3%","0.5%","0.2%"
"LAR","-3.2%","-0.2%","-3.0%","-0.1%"
"LV","-3.4%","6.1%","-0.9%","-1.4%"
"MIA","0.3%","4.0%","0.9%","-0.9%"
"MIN","-3.6%","0.0%","-0.1%","-0.7%"
"NE","-2.7%","-3.9%","0.2%","-2.8%"
"NO","6.5%","-2.7%","-0.4%","4.2%"
"NYG","-3.4%","1.4%","-0.9%","-2.3%"
"NYJ","-0.7%","4.8%","0.8%","-0.2%"
"PHI","2.5%","-2.0%","1.8%","1.2%"
"PIT","-3.3%","-3.3%","1.8%","-3.2%"
"SEA","4.9%","-1.3%","3.4%","-1.6%"
"SF","0.2%","-6.5%","-0.8%","-2.2%"
"TB","-5.0%","-3.5%","0.2%","-1.0%"
"TEN","1.8%","4.6%","1.4%","1.6%"
"WAS","5.1%","2.3%","-0.1%","0.0%"
