Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Alvin Kamara\KamaAl00,NOR,25,rb,4,3,35,30,321,10.7,3,13,52,7.5,80.3,85.7%,9.2,50,236,4,14,49,4.7,59.0,12.5,80,7.0,557,7,0
2,Aaron Jones\JoneAa00,GNB,26,rb,4,4,23,15,135,9.0,2,7,30,3.8,33.8,65.2%,5.9,65,374,4,17,75,5.8,93.5,16.3,80,6.4,509,6,1
3,Dalvin Cook\CookDa01,MIN,25,rb,4,4,11,7,40,5.7,0,2,15,1.8,10.0,63.6%,3.6,75,424,6,25,39,5.7,106.0,18.8,82,5.7,464,6,1
4,James Robinson\RobiJa00,JAX,22,rb,4,4,15,14,161,11.5,0,6,28,3.5,40.3,93.3%,10.7,60,285,3,15,39,4.8,71.3,15.0,74,6.0,446,3,0
5,Ronald Jones II\JoneRo01,TAM,23,rb,5,5,23,15,76,5.1,0,1,11,3.0,15.2,65.2%,3.3,74,359,1,19,37,4.9,71.8,14.8,89,4.9,435,1,0
6,Clyde Edwards-Helaire\EdwaCl00,KAN,21,rb,4,4,19,14,129,9.2,0,5,24,3.5,32.3,73.7%,6.8,71,304,1,13,27,4.3,76.0,17.8,85,5.1,433,1,0
7,Ezekiel Elliott\ElliEz00,DAL,25,rb,4,4,30,23,159,6.9,1,9,19,5.8,39.8,76.7%,5.3,70,273,3,19,24,3.9,68.3,17.5,93,4.6,432,4,3
8,Allen Robinson\RobiAl02,CHI,27,wr,5,5,57,35,421,12.0,2,21,37,7.0,84.2,61.4%,7.4,1,-1,0,0,-1,-1.0,-0.2,0.2,36,11.7,420,2,0
9,Stefon Diggs\DiggSt00,BUF,27,wr,4,4,35,26,403,15.5,2,18,49,6.5,100.8,74.3%,11.5,,,,0,,,,,26,15.5,403,2,0
10,D.K. Metcalf\MetcDK00,SEA,23,wr,4,4,28,16,403,25.2,3,13,62,4.0,100.8,57.1%,14.4,,,,0,,,,,16,25.2,403,3,1
11,Joe Mixon\MixoJo00,CIN,24,rb,4,4,15,13,88,6.8,1,4,18,3.3,22.0,86.7%,5.9,77,315,2,16,34,4.1,78.8,19.3,90,4.5,403,3,1
12,Amari Cooper\CoopAm00,DAL,26,wr,4,4,51,37,401,10.8,1,22,58,9.3,100.3,72.5%,7.9,,,,0,,,,,37,10.8,401,1,0
13,Josh Jacobs\JacoJo01,LVR,22,rb,4,4,17,13,100,7.7,0,2,29,3.3,25.0,76.5%,5.9,83,300,3,19,16,3.6,75.0,20.8,96,4.2,400,3,1
14,DeAndre Hopkins\HopkDe00,ARI,28,wr,4,4,46,39,397,10.2,1,24,33,9.8,99.3,84.8%,8.6,,,,0,,,,,39,10.2,397,1,0
15,Austin Ekeler\EkelAu00,LAC,25,rb,4,4,17,17,144,8.5,0,7,28,4.3,36.0,100.0%,8.5,49,248,1,14,13,5.1,62.0,12.3,66,5.9,392,1,0
16,Terry McLaurin\McLaTe00,WAS,25,wr,4,4,39,26,387,14.9,1,20,39,6.5,96.8,66.7%,9.9,1,3,0,1,3,3.0,0.8,0.3,27,14.4,390,1,0
17,Robby Anderson\AndeRo04,CAR,27,wr,4,4,34,28,377,13.5,1,16,75,7.0,94.3,82.4%,11.1,,,,0,,,,,28,13.5,377,1,1
